Yield,Value
yield_sig,67767.48
yield_sig_err,430.43
yield_comb_bkg,36338.08
yield_comb_bkg_err,831.14
yield_part_bkg,46726.76
yield_part_bkg_err,824.1
yield_part_bkg_jpsipi_pion,2575.16
yield_part_bkg_kstar,42193.65
yield_part_bkg_kstar_err,824.1
yield_part_bkg_kstar_kaon,9003.24
yield_part_bkg_kstar_kaon_err,158.79
yield_part_bkg_kstar_pion,6058.03
yield_part_bkg_kstar_pion_err,106.84
yield_part_bkg_k0star_kaon,18038.98
yield_part_bkg_k0star_kaon_err,318.15
yield_part_bkg_k0star_pion,9093.4
yield_part_bkg_k0star_pion_err,160.38
yield_part_bkg_chic1_kaon,4533.1
yield_part_bkg_chic1_kaon_err,79.95
