Yield,Value
yield_sig,65727.19
yield_sig_err,468.52
yield_comb_bkg,34520.62
yield_comb_bkg_err,826.46
yield_part_bkg,50274.24
yield_part_bkg_err,884.22
yield_part_bkg_jpsipi_pion,2497.63
yield_part_bkg_kstar,45396.98
yield_part_bkg_kstar_err,884.22
yield_part_bkg_kstar_kaon,9686.77
yield_part_bkg_kstar_kaon_err,170.37
yield_part_bkg_kstar_pion,6517.95
yield_part_bkg_kstar_pion_err,114.64
yield_part_bkg_k0star_kaon,19408.49
yield_part_bkg_k0star_kaon_err,341.36
yield_part_bkg_k0star_pion,9783.77
yield_part_bkg_k0star_pion_err,172.08
yield_part_bkg_chic1_kaon,4877.25
yield_part_bkg_chic1_kaon_err,85.78
