Yield,Value
yield_sig,65513.38
yield_sig_err,718.08
yield_comb_bkg,36345.88
yield_comb_bkg_err,905.13
yield_part_bkg,48813.7
yield_part_bkg_err,1201.5
yield_part_bkg_jpsipi_pion,2489.51
yield_part_bkg_kstar,44078.14
yield_part_bkg_kstar_err,1201.5
yield_part_bkg_kstar_kaon,9405.36
yield_part_bkg_kstar_kaon_err,231.5
yield_part_bkg_kstar_pion,6328.6
yield_part_bkg_kstar_pion_err,155.77
yield_part_bkg_k0star_kaon,18844.65
yield_part_bkg_k0star_kaon_err,463.84
yield_part_bkg_k0star_pion,9499.54
yield_part_bkg_k0star_pion_err,233.82
yield_part_bkg_chic1_kaon,4735.56
yield_part_bkg_chic1_kaon_err,116.56
