Yield,Value
yield_sig,66713.72
yield_sig_err,432.8
yield_comb_bkg,35451.72
yield_comb_bkg_err,861.03
yield_part_bkg,48353.43
yield_part_bkg_err,875.61
yield_part_bkg_jpsipi_pion,2535.12
yield_part_bkg_kstar,43662.52
yield_part_bkg_kstar_err,875.61
yield_part_bkg_kstar_kaon,9316.67
yield_part_bkg_kstar_kaon_err,168.71
yield_part_bkg_kstar_pion,6268.92
yield_part_bkg_kstar_pion_err,113.52
yield_part_bkg_k0star_kaon,18666.96
yield_part_bkg_k0star_kaon_err,338.03
yield_part_bkg_k0star_pion,9409.97
yield_part_bkg_k0star_pion_err,170.4
yield_part_bkg_chic1_kaon,4690.91
yield_part_bkg_chic1_kaon_err,84.95
