Yield,Value
yield_sig,68079.63
yield_sig_err,686.85
yield_comb_bkg,37898.74
yield_comb_bkg_err,829.77
yield_part_bkg,45104.56
yield_part_bkg_err,1008.68
yield_part_bkg_jpsipi_pion,2587.03
yield_part_bkg_kstar,40728.84
yield_part_bkg_kstar_err,1008.68
yield_part_bkg_kstar_kaon,8690.68
yield_part_bkg_kstar_kaon_err,194.35
yield_part_bkg_kstar_pion,5847.72
yield_part_bkg_kstar_pion_err,130.77
yield_part_bkg_k0star_kaon,17412.73
yield_part_bkg_k0star_kaon_err,389.41
yield_part_bkg_k0star_pion,8777.71
yield_part_bkg_k0star_pion_err,196.3
yield_part_bkg_chic1_kaon,4375.73
yield_part_bkg_chic1_kaon_err,97.86
