Yield,Value
yield_sig,63921.05
yield_sig_err,414.73
yield_comb_bkg,33081.52
yield_comb_bkg_err,813.0
yield_part_bkg,51923.76
yield_part_bkg_err,807.67
yield_part_bkg_jpsipi_pion,2429.0
yield_part_bkg_kstar,46880.21
yield_part_bkg_kstar_err,807.67
yield_part_bkg_kstar_kaon,9998.0
yield_part_bkg_kstar_kaon_err,155.52
yield_part_bkg_kstar_pion,6745.17
yield_part_bkg_kstar_pion_err,104.92
yield_part_bkg_k0star_kaon,20012.2
yield_part_bkg_k0star_kaon_err,311.29
yield_part_bkg_k0star_pion,10124.84
yield_part_bkg_k0star_pion_err,157.49
yield_part_bkg_chic1_kaon,5043.55
yield_part_bkg_chic1_kaon_err,78.45
