Yield,Value
yield_sig,63924.74
yield_sig_err,414.47
yield_comb_bkg,33091.17
yield_comb_bkg_err,812.87
yield_part_bkg,51912.29
yield_part_bkg_err,807.21
yield_part_bkg_jpsipi_pion,2429.14
yield_part_bkg_kstar,46869.86
yield_part_bkg_kstar_err,807.21
yield_part_bkg_kstar_kaon,9995.79
yield_part_bkg_kstar_kaon_err,155.43
yield_part_bkg_kstar_pion,6743.68
yield_part_bkg_kstar_pion_err,104.86
yield_part_bkg_k0star_kaon,20007.78
yield_part_bkg_k0star_kaon_err,311.11
yield_part_bkg_k0star_pion,10122.6
yield_part_bkg_k0star_pion_err,157.4
yield_part_bkg_chic1_kaon,5042.44
yield_part_bkg_chic1_kaon_err,78.41
