Yield,Value
yield_sig,69351.08
yield_sig_err,526.37
yield_comb_bkg,37407.41
yield_comb_bkg_err,839.52
yield_part_bkg,43175.23
yield_part_bkg_err,924.95
yield_part_bkg_jpsipi_pion,2635.34
yield_part_bkg_kstar,38981.46
yield_part_bkg_kstar_err,924.95
yield_part_bkg_kstar_kaon,8313.46
yield_part_bkg_kstar_kaon_err,178.1
yield_part_bkg_kstar_pion,5608.69
yield_part_bkg_kstar_pion_err,120.16
yield_part_bkg_k0star_kaon,16640.38
yield_part_bkg_k0star_kaon_err,356.49
yield_part_bkg_k0star_pion,8418.93
yield_part_bkg_k0star_pion_err,180.36
yield_part_bkg_chic1_kaon,4193.77
yield_part_bkg_chic1_kaon_err,89.84
