Yield,Value
yield_sig,64822.39
yield_sig_err,476.07
yield_comb_bkg,32893.83
yield_comb_bkg_err,1018.33
yield_part_bkg,47635.38
yield_part_bkg_err,1113.62
yield_part_bkg_jpsipi_pion,2463.25
yield_part_bkg_kstar,42991.81
yield_part_bkg_kstar_err,1113.62
yield_part_bkg_kstar_kaon,9128.48
yield_part_bkg_kstar_kaon_err,213.41
yield_part_bkg_kstar_pion,6249.27
yield_part_bkg_kstar_pion_err,146.1
yield_part_bkg_k0star_kaon,18309.94
yield_part_bkg_k0star_kaon_err,428.05
yield_part_bkg_k0star_pion,9304.13
yield_part_bkg_k0star_pion_err,217.51
yield_part_bkg_chic1_kaon,4643.56
yield_part_bkg_chic1_kaon_err,108.56
