Yield,Value
yield_sig,63161.92
yield_sig_err,415.64
yield_comb_bkg,30525.83
yield_comb_bkg_err,967.75
yield_part_bkg,52619.53
yield_part_bkg_err,1007.13
yield_part_bkg_jpsipi_pion,2400.15
yield_part_bkg_kstar,47489.87
yield_part_bkg_kstar_err,1007.13
yield_part_bkg_kstar_kaon,10105.53
yield_part_bkg_kstar_kaon_err,193.42
yield_part_bkg_kstar_pion,6860.8
yield_part_bkg_kstar_pion_err,131.32
yield_part_bkg_k0star_kaon,20267.23
yield_part_bkg_k0star_kaon_err,387.91
yield_part_bkg_k0star_pion,10256.31
yield_part_bkg_k0star_pion_err,196.31
yield_part_bkg_chic1_kaon,5129.66
yield_part_bkg_chic1_kaon_err,98.18
