Yield,Value
yield_sig,78343.29
yield_sig_err,76.42
yield_comb_bkg,5967.25
yield_comb_bkg_err,6.87
yield_part_bkg,67317.4
yield_part_bkg_err,30.34
yield_part_bkg_jpsipi_pion,2977.05
yield_part_bkg_kstar,60754.91
yield_part_bkg_kstar_err,30.34
yield_part_bkg_kstar_kaon,12928.25
yield_part_bkg_kstar_kaon_err,5.83
yield_part_bkg_kstar_pion,8777.18
yield_part_bkg_kstar_pion_err,3.96
yield_part_bkg_k0star_kaon,25928.34
yield_part_bkg_k0star_kaon_err,11.69
yield_part_bkg_k0star_pion,13121.14
yield_part_bkg_k0star_pion_err,5.91
yield_part_bkg_chic1_kaon,6562.49
yield_part_bkg_chic1_kaon_err,2.96
