Yield,Value
yield_sig,64467.31
yield_sig_err,520.45
yield_comb_bkg,32217.43
yield_comb_bkg_err,871.8
yield_part_bkg,49947.47
yield_part_bkg_err,933.83
yield_part_bkg_jpsipi_pion,2449.76
yield_part_bkg_kstar,45078.3
yield_part_bkg_kstar_err,933.83
yield_part_bkg_kstar_kaon,9592.37
yield_part_bkg_kstar_kaon_err,179.34
yield_part_bkg_kstar_pion,6512.4
yield_part_bkg_kstar_pion_err,121.76
yield_part_bkg_k0star_kaon,19238.04
yield_part_bkg_k0star_kaon_err,359.68
yield_part_bkg_k0star_pion,9735.49
yield_part_bkg_k0star_pion_err,182.02
yield_part_bkg_chic1_kaon,4869.17
yield_part_bkg_chic1_kaon_err,91.04
