Yield,Value
yield_sig,64371.12
yield_sig_err,414.92
yield_comb_bkg,31401.36
yield_comb_bkg_err,818.69
yield_part_bkg,50830.98
yield_part_bkg_err,830.34
yield_part_bkg_jpsipi_pion,2446.1
yield_part_bkg_kstar,45875.68
yield_part_bkg_kstar_err,830.34
yield_part_bkg_kstar_kaon,9762.05
yield_part_bkg_kstar_kaon_err,159.47
yield_part_bkg_kstar_pion,6627.6
yield_part_bkg_kstar_pion_err,108.26
yield_part_bkg_k0star_kaon,19578.34
yield_part_bkg_k0star_kaon_err,319.82
yield_part_bkg_k0star_pion,9907.7
yield_part_bkg_k0star_pion_err,161.85
yield_part_bkg_chic1_kaon,4955.3
yield_part_bkg_chic1_kaon_err,80.95
