Yield,Value
yield_sig,65148.25
yield_sig_err,412.75
yield_comb_bkg,34899.45
yield_comb_bkg_err,937.24
yield_part_bkg,43508.07
yield_part_bkg_err,975.83
yield_part_bkg_jpsipi_pion,2475.63
yield_part_bkg_kstar,39277.73
yield_part_bkg_kstar_err,975.83
yield_part_bkg_kstar_kaon,8304.35
yield_part_bkg_kstar_kaon_err,186.26
yield_part_bkg_kstar_pion,5730.12
yield_part_bkg_kstar_pion_err,128.52
yield_part_bkg_k0star_kaon,16707.38
yield_part_bkg_k0star_kaon_err,374.72
yield_part_bkg_k0star_pion,8535.87
yield_part_bkg_k0star_pion_err,191.45
yield_part_bkg_chic1_kaon,4230.34
yield_part_bkg_chic1_kaon_err,94.88
