Yield,Value
yield_sig,65079.45
yield_sig_err,407.84
yield_comb_bkg,34696.85
yield_comb_bkg_err,933.03
yield_part_bkg,43754.23
yield_part_bkg_err,971.86
yield_part_bkg_jpsipi_pion,2473.02
yield_part_bkg_kstar,39499.95
yield_part_bkg_kstar_err,971.86
yield_part_bkg_kstar_kaon,8351.33
yield_part_bkg_kstar_kaon_err,185.5
yield_part_bkg_kstar_pion,5762.54
yield_part_bkg_kstar_pion_err,128.0
yield_part_bkg_k0star_kaon,16801.91
yield_part_bkg_k0star_kaon_err,373.2
yield_part_bkg_k0star_pion,8584.17
yield_part_bkg_k0star_pion_err,190.67
yield_part_bkg_chic1_kaon,4254.28
yield_part_bkg_chic1_kaon_err,94.5
