Yield,Value
yield_sig,62032.83
yield_sig_err,300.45
yield_comb_bkg,38131.35
yield_comb_bkg_err,725.31
yield_part_bkg,35976.74
yield_part_bkg_err,653.52
yield_part_bkg_jpsipi_pion,2357.25
yield_part_bkg_kstar,32482.94
yield_part_bkg_kstar_err,653.52
yield_part_bkg_kstar_kaon,6825.95
yield_part_bkg_kstar_kaon_err,123.99
yield_part_bkg_kstar_pion,4847.24
yield_part_bkg_kstar_pion_err,88.05
yield_part_bkg_k0star_kaon,13610.88
yield_part_bkg_k0star_kaon_err,247.24
yield_part_bkg_k0star_pion,7198.87
yield_part_bkg_k0star_pion_err,130.77
yield_part_bkg_chic1_kaon,3493.8
yield_part_bkg_chic1_kaon_err,63.47
