Yield,Value
yield_sig,62218.31
yield_sig_err,299.43
yield_comb_bkg,38188.82
yield_comb_bkg_err,710.74
yield_part_bkg,35819.44
yield_part_bkg_err,636.43
yield_part_bkg_jpsipi_pion,2364.3
yield_part_bkg_kstar,32340.92
yield_part_bkg_kstar_err,636.43
yield_part_bkg_kstar_kaon,6796.11
yield_part_bkg_kstar_kaon_err,120.75
yield_part_bkg_kstar_pion,4826.04
yield_part_bkg_kstar_pion_err,85.75
yield_part_bkg_k0star_kaon,13551.37
yield_part_bkg_k0star_kaon_err,240.78
yield_part_bkg_k0star_pion,7167.39
yield_part_bkg_k0star_pion_err,127.35
yield_part_bkg_chic1_kaon,3478.52
yield_part_bkg_chic1_kaon_err,61.81
