Yield,Value
yield_sig,62199.28
yield_sig_err,298.5
yield_comb_bkg,38657.47
yield_comb_bkg_err,709.69
yield_part_bkg,35323.62
yield_part_bkg_err,633.45
yield_part_bkg_jpsipi_pion,2363.57
yield_part_bkg_kstar,31893.25
yield_part_bkg_kstar_err,633.45
yield_part_bkg_kstar_kaon,6702.04
yield_part_bkg_kstar_kaon_err,120.19
yield_part_bkg_kstar_pion,4759.24
yield_part_bkg_kstar_pion_err,85.35
yield_part_bkg_k0star_kaon,13363.79
yield_part_bkg_k0star_kaon_err,239.65
yield_part_bkg_k0star_pion,7068.18
yield_part_bkg_k0star_pion_err,126.75
yield_part_bkg_chic1_kaon,3430.37
yield_part_bkg_chic1_kaon_err,61.52
