Yield,Value
yield_sig,62142.64
yield_sig_err,296.32
yield_comb_bkg,38419.31
yield_comb_bkg_err,701.92
yield_part_bkg,35597.33
yield_part_bkg_err,622.53
yield_part_bkg_jpsipi_pion,2361.42
yield_part_bkg_kstar,32140.38
yield_part_bkg_kstar_err,622.53
yield_part_bkg_kstar_kaon,6753.97
yield_part_bkg_kstar_kaon_err,118.11
yield_part_bkg_kstar_pion,4796.12
yield_part_bkg_kstar_pion_err,83.87
yield_part_bkg_k0star_kaon,13467.34
yield_part_bkg_k0star_kaon_err,235.52
yield_part_bkg_k0star_pion,7122.95
yield_part_bkg_k0star_pion_err,124.57
yield_part_bkg_chic1_kaon,3456.95
yield_part_bkg_chic1_kaon_err,60.46
