Yield,Value
yield_sig,62045.41
yield_sig_err,300.32
yield_comb_bkg,38155.98
yield_comb_bkg_err,724.96
yield_part_bkg,35943.3
yield_part_bkg_err,652.78
yield_part_bkg_jpsipi_pion,2357.73
yield_part_bkg_kstar,32452.75
yield_part_bkg_kstar_err,652.78
yield_part_bkg_kstar_kaon,6819.61
yield_part_bkg_kstar_kaon_err,123.85
yield_part_bkg_kstar_pion,4842.73
yield_part_bkg_kstar_pion_err,87.95
yield_part_bkg_k0star_kaon,13598.23
yield_part_bkg_k0star_kaon_err,246.96
yield_part_bkg_k0star_pion,7192.18
yield_part_bkg_k0star_pion_err,130.62
yield_part_bkg_chic1_kaon,3490.55
yield_part_bkg_chic1_kaon_err,63.39
