Yield,Value
yield_sig,62165.83
yield_sig_err,300.11
yield_comb_bkg,38286.93
yield_comb_bkg_err,725.25
yield_part_bkg,35749.23
yield_part_bkg_err,650.39
yield_part_bkg_jpsipi_pion,2362.3
yield_part_bkg_kstar,32277.52
yield_part_bkg_kstar_err,650.39
yield_part_bkg_kstar_kaon,6782.79
yield_part_bkg_kstar_kaon_err,123.4
yield_part_bkg_kstar_pion,4816.58
yield_part_bkg_kstar_pion_err,87.63
yield_part_bkg_k0star_kaon,13524.81
yield_part_bkg_k0star_kaon_err,246.06
yield_part_bkg_k0star_pion,7153.34
yield_part_bkg_k0star_pion_err,130.14
yield_part_bkg_chic1_kaon,3471.7
yield_part_bkg_chic1_kaon_err,63.16
