Yield,Value
yield_sig,62170.59
yield_sig_err,299.84
yield_comb_bkg,38303.49
yield_comb_bkg_err,718.64
yield_part_bkg,35728.19
yield_part_bkg_err,643.31
yield_part_bkg_jpsipi_pion,2362.48
yield_part_bkg_kstar,32258.53
yield_part_bkg_kstar_err,643.31
yield_part_bkg_kstar_kaon,6778.8
yield_part_bkg_kstar_kaon_err,122.06
yield_part_bkg_kstar_pion,4813.75
yield_part_bkg_kstar_pion_err,86.67
yield_part_bkg_k0star_kaon,13516.85
yield_part_bkg_k0star_kaon_err,243.38
yield_part_bkg_k0star_pion,7149.13
yield_part_bkg_k0star_pion_err,128.73
yield_part_bkg_chic1_kaon,3469.66
yield_part_bkg_chic1_kaon_err,62.47
