Yield,Value
yield_sig,62327.79
yield_sig_err,305.65
yield_comb_bkg,38710.89
yield_comb_bkg_err,765.23
yield_part_bkg,35216.76
yield_part_bkg_err,696.29
yield_part_bkg_jpsipi_pion,2368.46
yield_part_bkg_kstar,31796.76
yield_part_bkg_kstar_err,696.29
yield_part_bkg_kstar_kaon,6681.76
yield_part_bkg_kstar_kaon_err,132.11
yield_part_bkg_kstar_pion,4744.84
yield_part_bkg_kstar_pion_err,93.81
yield_part_bkg_k0star_kaon,13323.36
yield_part_bkg_k0star_kaon_err,263.42
yield_part_bkg_k0star_pion,7046.8
yield_part_bkg_k0star_pion_err,139.33
yield_part_bkg_chic1_kaon,3419.99
yield_part_bkg_chic1_kaon_err,67.62
