Yield,Value
yield_sig,62332.85
yield_sig_err,305.11
yield_comb_bkg,38669.97
yield_comb_bkg_err,741.28
yield_part_bkg,35257.77
yield_part_bkg_err,671.14
yield_part_bkg_jpsipi_pion,2368.65
yield_part_bkg_kstar,31833.79
yield_part_bkg_kstar_err,671.14
yield_part_bkg_kstar_kaon,6689.54
yield_part_bkg_kstar_kaon_err,127.34
yield_part_bkg_kstar_pion,4750.37
yield_part_bkg_kstar_pion_err,90.42
yield_part_bkg_k0star_kaon,13338.88
yield_part_bkg_k0star_kaon_err,253.91
yield_part_bkg_k0star_pion,7055.0
yield_part_bkg_k0star_pion_err,134.29
yield_part_bkg_chic1_kaon,3423.98
yield_part_bkg_chic1_kaon_err,65.18
