Yield,Value
yield_sig,60922.86
yield_sig_err,296.45
yield_comb_bkg,35231.61
yield_comb_bkg_err,735.55
yield_part_bkg,39459.99
yield_part_bkg_err,664.56
yield_part_bkg_jpsipi_pion,2315.07
yield_part_bkg_kstar,39431.51
yield_part_bkg_kstar_err,664.56
yield_part_bkg_kstar_kaon,5416.22
yield_part_bkg_kstar_kaon_err,91.22
yield_part_bkg_kstar_pion,5580.16
yield_part_bkg_kstar_pion_err,93.98
yield_part_bkg_k0star_kaon,18607.35
yield_part_bkg_k0star_kaon_err,313.37
yield_part_bkg_k0star_pion,9827.79
yield_part_bkg_k0star_pion_err,165.51
yield_part_bkg_chic1_kaon,28.48
yield_part_bkg_chic1_kaon_err,0.48
