Yield,Value
yield_sig,60939.61
yield_sig_err,297.44
yield_comb_bkg,35261.3
yield_comb_bkg_err,755.24
yield_part_bkg,39419.97
yield_part_bkg_err,686.33
yield_part_bkg_jpsipi_pion,2315.71
yield_part_bkg_kstar,39391.52
yield_part_bkg_kstar_err,686.33
yield_part_bkg_kstar_kaon,5410.72
yield_part_bkg_kstar_kaon_err,94.2
yield_part_bkg_kstar_pion,5574.5
yield_part_bkg_kstar_pion_err,97.06
yield_part_bkg_k0star_kaon,18588.48
yield_part_bkg_k0star_kaon_err,323.64
yield_part_bkg_k0star_pion,9817.83
yield_part_bkg_k0star_pion_err,170.93
yield_part_bkg_chic1_kaon,28.45
yield_part_bkg_chic1_kaon_err,0.5
