Yield,Value
yield_sig,61084.47
yield_sig_err,298.39
yield_comb_bkg,35453.02
yield_comb_bkg_err,757.12
yield_part_bkg,39153.61
yield_part_bkg_err,685.85
yield_part_bkg_jpsipi_pion,2321.21
yield_part_bkg_kstar,39125.35
yield_part_bkg_kstar_err,685.85
yield_part_bkg_kstar_kaon,5374.16
yield_part_bkg_kstar_kaon_err,94.14
yield_part_bkg_kstar_pion,5536.83
yield_part_bkg_kstar_pion_err,96.99
yield_part_bkg_k0star_kaon,18462.87
yield_part_bkg_k0star_kaon_err,323.41
yield_part_bkg_k0star_pion,9751.49
yield_part_bkg_k0star_pion_err,170.82
yield_part_bkg_chic1_kaon,28.25
yield_part_bkg_chic1_kaon_err,0.49
