Yield,Value
yield_sig,61092.6
yield_sig_err,298.3
yield_comb_bkg,35473.84
yield_comb_bkg_err,756.76
yield_part_bkg,39127.06
yield_part_bkg_err,685.33
yield_part_bkg_jpsipi_pion,2321.52
yield_part_bkg_kstar,39098.83
yield_part_bkg_kstar_err,685.33
yield_part_bkg_kstar_kaon,5370.52
yield_part_bkg_kstar_kaon_err,94.07
yield_part_bkg_kstar_pion,5533.08
yield_part_bkg_kstar_pion_err,96.92
yield_part_bkg_k0star_kaon,18450.36
yield_part_bkg_k0star_kaon_err,323.17
yield_part_bkg_k0star_pion,9744.88
yield_part_bkg_k0star_pion_err,170.69
yield_part_bkg_chic1_kaon,28.24
yield_part_bkg_chic1_kaon_err,0.49
