Yield,Value
yield_sig,70099.47
yield_sig_err,369.66
yield_comb_bkg,9476.47
yield_comb_bkg_err,1329.98
yield_part_bkg,50827.35
yield_part_bkg_err,1092.54
yield_part_bkg_jpsipi_pion,2663.78
yield_part_bkg_kstar,46475.08
yield_part_bkg_kstar_err,1092.54
yield_part_bkg_kstar_kaon,2154.19
yield_part_bkg_kstar_kaon_err,46.3
yield_part_bkg_kstar_pion,9265.23
yield_part_bkg_kstar_pion_err,199.16
yield_part_bkg_k0star_kaon,3874.18
yield_part_bkg_k0star_kaon_err,83.28
yield_part_bkg_k0star_pion,31181.48
yield_part_bkg_k0star_pion_err,670.25
yield_part_bkg_chic1_kaon,4352.27
yield_part_bkg_chic1_kaon_err,93.55
