Yield,Value
yield_sig,70062.77
yield_sig_err,368.07
yield_comb_bkg,9472.75
yield_comb_bkg_err,1331.6
yield_part_bkg,50858.52
yield_part_bkg_err,1093.93
yield_part_bkg_jpsipi_pion,2662.39
yield_part_bkg_kstar,46503.58
yield_part_bkg_kstar_err,1093.93
yield_part_bkg_kstar_kaon,2155.51
yield_part_bkg_kstar_kaon_err,46.36
yield_part_bkg_kstar_pion,9270.91
yield_part_bkg_kstar_pion_err,199.41
yield_part_bkg_k0star_kaon,3876.55
yield_part_bkg_k0star_kaon_err,83.38
yield_part_bkg_k0star_pion,31200.6
yield_part_bkg_k0star_pion_err,671.1
yield_part_bkg_chic1_kaon,4354.94
yield_part_bkg_chic1_kaon_err,93.67
