Yield,Value
yield_sig,69871.36
yield_sig_err,362.28
yield_comb_bkg,9966.49
yield_comb_bkg_err,1336.1
yield_part_bkg,50563.77
yield_part_bkg_err,1102.08
yield_part_bkg_jpsipi_pion,2655.11
yield_part_bkg_kstar,46234.06
yield_part_bkg_kstar_err,1102.08
yield_part_bkg_kstar_kaon,2143.02
yield_part_bkg_kstar_kaon_err,46.71
yield_part_bkg_kstar_pion,9217.18
yield_part_bkg_kstar_pion_err,200.9
yield_part_bkg_k0star_kaon,3854.09
yield_part_bkg_k0star_kaon_err,84.0
yield_part_bkg_k0star_pion,31019.78
yield_part_bkg_k0star_pion_err,676.1
yield_part_bkg_chic1_kaon,4329.7
yield_part_bkg_chic1_kaon_err,94.37
