Yield,Value
yield_sig,69839.61
yield_sig_err,360.68
yield_comb_bkg,9928.5
yield_comb_bkg_err,1338.54
yield_part_bkg,50618.92
yield_part_bkg_err,1103.78
yield_part_bkg_jpsipi_pion,2653.91
yield_part_bkg_kstar,46284.5
yield_part_bkg_kstar_err,1103.78
yield_part_bkg_kstar_kaon,2145.36
yield_part_bkg_kstar_kaon_err,46.78
yield_part_bkg_kstar_pion,9227.23
yield_part_bkg_kstar_pion_err,201.21
yield_part_bkg_k0star_kaon,3858.29
yield_part_bkg_k0star_kaon_err,84.13
yield_part_bkg_k0star_pion,31053.61
yield_part_bkg_k0star_pion_err,677.15
yield_part_bkg_chic1_kaon,4334.43
yield_part_bkg_chic1_kaon_err,94.52
