Yield,Value
yield_sig,60009.11
yield_sig_err,295.27
yield_comb_bkg,53177.63
yield_comb_bkg_err,528.54
yield_part_bkg,26020.18
yield_part_bkg_err,475.5
yield_part_bkg_jpsipi_pion,2280.35
yield_part_bkg_kstar,25991.42
yield_part_bkg_kstar_err,475.5
yield_part_bkg_kstar_kaon,5469.98
yield_part_bkg_kstar_kaon_err,99.96
yield_part_bkg_kstar_pion,626.57
yield_part_bkg_kstar_pion_err,11.45
yield_part_bkg_k0star_kaon,18792.05
yield_part_bkg_k0star_kaon_err,343.41
yield_part_bkg_k0star_pion,1102.82
yield_part_bkg_k0star_pion_err,20.15
yield_part_bkg_chic1_kaon,28.76
yield_part_bkg_chic1_kaon_err,0.53
