Yield,Value
yield_sig,60026.28
yield_sig_err,295.14
yield_comb_bkg,53190.97
yield_comb_bkg_err,528.41
yield_part_bkg,25989.84
yield_part_bkg_err,474.96
yield_part_bkg_jpsipi_pion,2281.0
yield_part_bkg_kstar,25961.11
yield_part_bkg_kstar_err,474.96
yield_part_bkg_kstar_kaon,5463.6
yield_part_bkg_kstar_kaon_err,99.85
yield_part_bkg_kstar_pion,625.84
yield_part_bkg_kstar_pion_err,11.44
yield_part_bkg_k0star_kaon,18770.14
yield_part_bkg_k0star_kaon_err,343.02
yield_part_bkg_k0star_pion,1101.53
yield_part_bkg_k0star_pion_err,20.13
yield_part_bkg_chic1_kaon,28.72
yield_part_bkg_chic1_kaon_err,0.52
