Yield,Value
yield_sig,60143.94
yield_sig_err,296.51
yield_comb_bkg,53318.43
yield_comb_bkg_err,529.87
yield_part_bkg,25770.24
yield_part_bkg_err,476.26
yield_part_bkg_jpsipi_pion,2285.47
yield_part_bkg_kstar,25741.76
yield_part_bkg_kstar_err,476.26
yield_part_bkg_kstar_kaon,5417.44
yield_part_bkg_kstar_kaon_err,100.12
yield_part_bkg_kstar_pion,620.55
yield_part_bkg_kstar_pion_err,11.47
yield_part_bkg_k0star_kaon,18611.55
yield_part_bkg_k0star_kaon_err,343.96
yield_part_bkg_k0star_pion,1092.22
yield_part_bkg_k0star_pion_err,20.19
yield_part_bkg_chic1_kaon,28.48
yield_part_bkg_chic1_kaon_err,0.53
