Yield,Value
yield_sig,60153.62
yield_sig_err,296.46
yield_comb_bkg,53329.07
yield_comb_bkg_err,529.74
yield_part_bkg,25751.08
yield_part_bkg_err,475.93
yield_part_bkg_jpsipi_pion,2285.84
yield_part_bkg_kstar,25722.62
yield_part_bkg_kstar_err,475.93
yield_part_bkg_kstar_kaon,5413.41
yield_part_bkg_kstar_kaon_err,100.05
yield_part_bkg_kstar_pion,620.09
yield_part_bkg_kstar_pion_err,11.46
yield_part_bkg_k0star_kaon,18597.71
yield_part_bkg_k0star_kaon_err,343.72
yield_part_bkg_k0star_pion,1091.41
yield_part_bkg_k0star_pion_err,20.17
yield_part_bkg_chic1_kaon,28.46
yield_part_bkg_chic1_kaon_err,0.53
