Yield,Value
yield_sig,57898.42
yield_sig_err,284.33
yield_comb_bkg,58537.22
yield_comb_bkg_err,1047.76
yield_part_bkg,16206.23
yield_part_bkg_err,918.16
yield_part_bkg_jpsipi_pion,2200.14
yield_part_bkg_kstar,14632.4
yield_part_bkg_kstar_err,918.16
yield_part_bkg_kstar_kaon,3074.85
yield_part_bkg_kstar_kaon_err,174.2
yield_part_bkg_kstar_pion,2183.51
yield_part_bkg_kstar_pion_err,123.71
yield_part_bkg_k0star_kaon,6131.21
yield_part_bkg_k0star_kaon_err,347.36
yield_part_bkg_k0star_pion,3242.83
yield_part_bkg_k0star_pion_err,183.72
yield_part_bkg_chic1_kaon,1573.83
yield_part_bkg_chic1_kaon_err,89.16
