Yield,Value
yield_sig,61414.37
yield_sig_err,302.38
yield_comb_bkg,57462.32
yield_comb_bkg_err,976.71
yield_part_bkg,15016.53
yield_part_bkg_err,899.17
yield_part_bkg_jpsipi_pion,2333.75
yield_part_bkg_kstar,13558.23
yield_part_bkg_kstar_err,899.17
yield_part_bkg_kstar_kaon,2849.12
yield_part_bkg_kstar_kaon_err,170.6
yield_part_bkg_kstar_pion,2023.21
yield_part_bkg_kstar_pion_err,121.15
yield_part_bkg_k0star_kaon,5681.12
yield_part_bkg_k0star_kaon_err,340.18
yield_part_bkg_k0star_pion,3004.77
yield_part_bkg_k0star_pion_err,179.92
yield_part_bkg_chic1_kaon,1458.3
yield_part_bkg_chic1_kaon_err,87.32
