Yield,Value
yield_sig,57935.79
yield_sig_err,283.78
yield_comb_bkg,58568.81
yield_comb_bkg_err,1033.4
yield_part_bkg,16235.87
yield_part_bkg_err,902.4
yield_part_bkg_jpsipi_pion,2201.56
yield_part_bkg_kstar,14659.16
yield_part_bkg_kstar_err,902.4
yield_part_bkg_kstar_kaon,3080.47
yield_part_bkg_kstar_kaon_err,171.22
yield_part_bkg_kstar_pion,2187.5
yield_part_bkg_kstar_pion_err,121.58
yield_part_bkg_k0star_kaon,6142.43
yield_part_bkg_k0star_kaon_err,341.4
yield_part_bkg_k0star_pion,3248.76
yield_part_bkg_k0star_pion_err,180.57
yield_part_bkg_chic1_kaon,1576.71
yield_part_bkg_chic1_kaon_err,87.63
