Yield,Value
yield_sig,57949.25
yield_sig_err,283.97
yield_comb_bkg,58669.43
yield_comb_bkg_err,1038.47
yield_part_bkg,16128.61
yield_part_bkg_err,907.19
yield_part_bkg_jpsipi_pion,2202.07
yield_part_bkg_kstar,14562.31
yield_part_bkg_kstar_err,907.19
yield_part_bkg_kstar_kaon,3060.12
yield_part_bkg_kstar_kaon_err,172.12
yield_part_bkg_kstar_pion,2173.05
yield_part_bkg_kstar_pion_err,122.23
yield_part_bkg_k0star_kaon,6101.85
yield_part_bkg_k0star_kaon_err,343.21
yield_part_bkg_k0star_pion,3227.3
yield_part_bkg_k0star_pion_err,181.53
yield_part_bkg_chic1_kaon,1566.29
yield_part_bkg_chic1_kaon_err,88.1
