Yield,Value
yield_sig,60036.34
yield_sig_err,300.88
yield_comb_bkg,63494.14
yield_comb_bkg_err,1109.74
yield_part_bkg,10109.36
yield_part_bkg_err,1013.79
yield_part_bkg_jpsipi_pion,2281.38
yield_part_bkg_kstar,9127.62
yield_part_bkg_kstar_err,1013.79
yield_part_bkg_kstar_kaon,1918.07
yield_part_bkg_kstar_kaon_err,192.35
yield_part_bkg_kstar_pion,1362.06
yield_part_bkg_kstar_pion_err,136.59
yield_part_bkg_k0star_kaon,3824.62
yield_part_bkg_k0star_kaon_err,383.54
yield_part_bkg_k0star_pion,2022.86
yield_part_bkg_k0star_pion_err,202.86
yield_part_bkg_chic1_kaon,981.75
yield_part_bkg_chic1_kaon_err,98.45
