Yield,Value
yield_sig,60769.76
yield_sig_err,308.49
yield_comb_bkg,61890.89
yield_comb_bkg_err,1084.18
yield_part_bkg,11036.58
yield_part_bkg_err,1008.02
yield_part_bkg_jpsipi_pion,2309.25
yield_part_bkg_kstar,9964.79
yield_part_bkg_kstar_err,1008.02
yield_part_bkg_kstar_kaon,2094.0
yield_part_bkg_kstar_kaon_err,191.25
yield_part_bkg_kstar_pion,1486.99
yield_part_bkg_kstar_pion_err,135.81
yield_part_bkg_k0star_kaon,4175.41
yield_part_bkg_k0star_kaon_err,381.36
yield_part_bkg_k0star_pion,2208.4
yield_part_bkg_k0star_pion_err,201.7
yield_part_bkg_chic1_kaon,1071.79
yield_part_bkg_chic1_kaon_err,97.89
