Yield,Value
yield_sig,60799.12
yield_sig_err,306.25
yield_comb_bkg,62177.8
yield_comb_bkg_err,1084.8
yield_part_bkg,10730.2
yield_part_bkg_err,1004.54
yield_part_bkg_jpsipi_pion,2310.37
yield_part_bkg_kstar,9688.16
yield_part_bkg_kstar_err,1004.54
yield_part_bkg_kstar_kaon,2035.87
yield_part_bkg_kstar_kaon_err,190.59
yield_part_bkg_kstar_pion,1445.71
yield_part_bkg_kstar_pion_err,135.34
yield_part_bkg_k0star_kaon,4059.5
yield_part_bkg_k0star_kaon_err,380.04
yield_part_bkg_k0star_pion,2147.09
yield_part_bkg_k0star_pion_err,201.01
yield_part_bkg_chic1_kaon,1042.04
yield_part_bkg_chic1_kaon_err,97.55
