Yield,Value
yield_sig,62596.8
yield_sig_err,310.38
yield_comb_bkg,50436.83
yield_comb_bkg_err,859.4
yield_part_bkg,21090.16
yield_part_bkg_err,805.45
yield_part_bkg_jpsipi_pion,2378.68
yield_part_bkg_kstar,19042.04
yield_part_bkg_kstar_err,805.45
yield_part_bkg_kstar_kaon,4001.49
yield_part_bkg_kstar_kaon_err,152.82
yield_part_bkg_kstar_pion,2841.53
yield_part_bkg_kstar_pion_err,108.52
yield_part_bkg_k0star_kaon,7978.92
yield_part_bkg_k0star_kaon_err,304.72
yield_part_bkg_k0star_pion,4220.1
yield_part_bkg_k0star_pion_err,161.17
yield_part_bkg_chic1_kaon,2048.12
yield_part_bkg_chic1_kaon_err,78.22
