Yield,Value
yield_sig,60766.11
yield_sig_err,324.83
yield_comb_bkg,61896.12
yield_comb_bkg_err,1128.42
yield_part_bkg,11035.58
yield_part_bkg_err,1048.53
yield_part_bkg_jpsipi_pion,2309.11
yield_part_bkg_kstar,9963.89
yield_part_bkg_kstar_err,1048.53
yield_part_bkg_kstar_kaon,2093.81
yield_part_bkg_kstar_kaon_err,198.94
yield_part_bkg_kstar_pion,1486.85
yield_part_bkg_kstar_pion_err,141.27
yield_part_bkg_k0star_kaon,4175.03
yield_part_bkg_k0star_kaon_err,396.69
yield_part_bkg_k0star_pion,2208.2
yield_part_bkg_k0star_pion_err,209.81
yield_part_bkg_chic1_kaon,1071.69
yield_part_bkg_chic1_kaon_err,101.83
