Yield,Value
yield_sig,62516.29
yield_sig_err,312.65
yield_comb_bkg,49952.11
yield_comb_bkg_err,857.41
yield_part_bkg,21645.03
yield_part_bkg_err,807.34
yield_part_bkg_jpsipi_pion,2375.62
yield_part_bkg_kstar,19543.02
yield_part_bkg_kstar_err,807.34
yield_part_bkg_kstar_kaon,4106.76
yield_part_bkg_kstar_kaon_err,153.18
yield_part_bkg_kstar_pion,2916.29
yield_part_bkg_kstar_pion_err,108.78
yield_part_bkg_k0star_kaon,8188.84
yield_part_bkg_k0star_kaon_err,305.44
yield_part_bkg_k0star_pion,4331.12
yield_part_bkg_k0star_pion_err,161.55
yield_part_bkg_chic1_kaon,2102.01
yield_part_bkg_chic1_kaon_err,78.4
