Yield,Value
yield_sig,60823.69
yield_sig_err,306.3
yield_comb_bkg,62021.8
yield_comb_bkg_err,1080.8
yield_part_bkg,10870.96
yield_part_bkg_err,1000.76
yield_part_bkg_jpsipi_pion,2311.3
yield_part_bkg_kstar,9815.26
yield_part_bkg_kstar_err,1000.76
yield_part_bkg_kstar_kaon,2062.57
yield_part_bkg_kstar_kaon_err,189.88
yield_part_bkg_kstar_pion,1464.67
yield_part_bkg_kstar_pion_err,134.83
yield_part_bkg_k0star_kaon,4112.75
yield_part_bkg_k0star_kaon_err,378.61
yield_part_bkg_k0star_pion,2175.26
yield_part_bkg_k0star_pion_err,200.25
yield_part_bkg_chic1_kaon,1055.71
yield_part_bkg_chic1_kaon_err,97.19
