Yield,Value
yield_sig,62573.77
yield_sig_err,315.43
yield_comb_bkg,50510.26
yield_comb_bkg_err,707.25
yield_part_bkg,21038.95
yield_part_bkg_err,646.53
yield_part_bkg_jpsipi_pion,2377.8
yield_part_bkg_kstar,18995.8
yield_part_bkg_kstar_err,646.53
yield_part_bkg_kstar_kaon,3991.77
yield_part_bkg_kstar_kaon_err,122.67
yield_part_bkg_kstar_pion,2834.63
yield_part_bkg_kstar_pion_err,87.11
yield_part_bkg_k0star_kaon,7959.55
yield_part_bkg_k0star_kaon_err,244.6
yield_part_bkg_k0star_pion,4209.85
yield_part_bkg_k0star_pion_err,129.37
yield_part_bkg_chic1_kaon,2043.15
yield_part_bkg_chic1_kaon_err,62.79
